Launch id,Files processed,Time needed(in seconds)
1,67,35.83661389350891
2,67,35.33622407913208
3,67,34.78148341178894
4,67,40.66424608230591
5,68,45.919363021850586
6,68,45.195929288864136
7,68,46.281643867492676
8,68,51.10565114021301
9,68,45.656919717788696
10,68,43.41999435424805
