Launch id,Files processed,Time needed(in seconds)
1,67,19.04610323905945
2,67,18.538715362548828
3,67,18.75099277496338
4,67,19.85446810722351
5,67,19.07115888595581
6,67,20.202958583831787
7,67,20.464584350585938
8,67,20.158714294433594
9,67,18.97650718688965
10,67,19.950736045837402
